

 Schedule for group 1

 - ; - ;ML3, 3, 5;  - ; - ; - ;
 - ;ML, 1, 13; ML3, 3, 4;  - ; - ; - ;


 Schedule for group 2

 - ; - ; - ; - ; - ; - ;
 - ;ML5, 4, 10;  - ; - ; - ; - ;
 - ;ML4, 6, 13;  - ; - ; - ;ML5, 4, 7; 
 - ; - ; - ; - ;ML, 1, 8; ML3, 3, 10; 
 - ;ML2, 2, 11; ML4, 6, 2;  - ;ML, 1, 16; ML3, 3, 12; 
 - ;ML2, 2, 7; ML6, 6, 12;  - ; - ; - ;


 Schedule for group 3

ML6, 6, 17;  - ; - ; - ; - ; - ;
ML6, 6, 16;  - ;ML5, 5, 6; ML5, 5, 13; ML4, 1, 10; ML6, 6, 15; 
 - ; - ;ML5, 5, 13; ML5, 5, 11; ML, 1, 14; ML6, 6, 12; 
ML2, 2, 13; ML4, 4, 16; ML3, 3, 12; ML2, 2, 10;  - ; - ;
 - ;ML, 1, 16;  - ;ML3, 3, 17;  - ; - ;
 - ;ML4, 4, 11;  - ;ML4, 1, 15;  - ; - ;


 Schedule for group 4

 - ; - ; - ; - ; - ; - ;
 - ;ML6, 6, 11;  - ; - ; - ; - ;
ML2, 2, 17; ML4, 4, 10;  - ; - ; - ; - ;
ML3, 3, 11;  - ; - ;ML, 1, 14;  - ;ML4, 4, 13; 
ML3, 3, 16;  - ; - ;ML, 1, 13;  - ;ML5, 5, 17; 
 - ; - ; - ;ML2, 2, 17;  - ; - ;


 Schedule for group 1

 - ; - ; - ; - ; - ; - ;
 - ; - ; - ;ML3, 3, 7;  - ; - ;
 - ; - ;ML2, 2, 4;  - ;ML, 1, 17;  - ;
ML, 1, 1;  - ;ML2, 2, 15; ML2, 2, 8; ML3, 3, 1;  - ;
 - ; - ;ML, 1, 1;  - ; - ; - ;
ML3, 3, 10;  - ; - ; - ; - ; - ;


 Schedule for group 2

 - ; - ; - ; - ; - ; - ;
 - ; - ; - ; - ; - ; - ;
ML, 1, 8;  - ; - ;ML6, 6, 14;  - ; - ;
 - ;ML, 1, 13;  - ;ML3, 3, 4;  - ;ML2, 2, 10; 
ML2, 2, 15; ML4, 6, 12;  - ;ML3, 3, 6;  - ;ML5, 4, 14; 
ML5, 4, 5; ML4, 6, 2;  - ; - ; - ; - ;


 Schedule for group 3

ML5, 5, 10;  - ; - ; - ;ML6, 6, 11;  - ;
ML, 1, 13;  - ; - ; - ;ML6, 6, 16;  - ;
ML5, 5, 14;  - ; - ;ML3, 3, 17; ML3, 3, 12;  - ;
 - ; - ; - ;ML6, 6, 14; ML5, 5, 13;  - ;
ML4, 4, 11; ML, 1, 17; ML4, 4, 16; ML2, 2, 17; ML5, 5, 14;  - ;
ML2, 2, 14; ML4, 1, 17; ML4, 1, 15;  - ; - ;ML6, 6, 10; 


 Schedule for group 4

 - ; - ; - ; - ; - ; - ;
ML5, 5, 5;  - ;ML2, 2, 17;  - ; - ; - ;
 - ; - ; - ; - ; - ;ML2, 2, 10; 
ML3, 3, 16;  - ;ML4, 4, 17;  - ; - ; - ;
ML3, 3, 12;  - ; - ; - ;ML, 1, 17; ML6, 6, 13; 
 - ; - ; - ; - ;ML, 1, 10; ML4, 4, 16; 


 Schedule for group 1

 - ; - ; - ; - ; - ; - ;
 - ; - ; - ; - ;ML, 1, 3;  - ;
ML2, 2, 7; ML2, 2, 17;  - ;ML, 1, 15; ML3, 3, 3;  - ;
ML3, 3, 8; ML3, 3, 15;  - ;ML2, 2, 6;  - ; - ;
 - ; - ; - ;ML, 1, 4;  - ; - ;
 - ; - ; - ; - ; - ; - ;


 Schedule for group 2

 - ; - ; - ; - ; - ; - ;
ML2, 2, 7; ML3, 3, 5;  - ; - ; - ; - ;
 - ;ML3, 3, 6; ML, 1, 6; ML4, 6, 1;  - ; - ;
ML5, 4, 17; ML2, 2, 13; ML6, 6, 16; ML, 1, 13;  - ;ML4, 6, 17; 
 - ; - ; - ; - ; - ;ML5, 4, 11; 
 - ; - ; - ; - ; - ; - ;


 Schedule for group 3

 - ;ML5, 5, 11;  - ;ML, 1, 14; ML5, 5, 16; ML3, 3, 11; 
 - ;ML5, 5, 15;  - ;ML6, 6, 16; ML3, 3, 17; ML4, 1, 16; 
 - ;ML4, 4, 13;  - ; - ;ML4, 1, 9; ML, 1, 11; 
 - ;ML4, 4, 14; ML2, 2, 14;  - ;ML6, 6, 12;  - ;
 - ;ML2, 2, 17; ML6, 6, 13;  - ;ML6, 6, 13;  - ;
 - ; - ;ML5, 5, 14;  - ; - ; - ;


 Schedule for group 4

 - ; - ; - ; - ; - ; - ;
 - ; - ;ML, 1, 12; ML, 1, 13; ML5, 5, 13; ML3, 3, 14; 
ML3, 3, 12;  - ;ML2, 2, 10; ML2, 2, 11; ML6, 6, 14; ML4, 4, 13; 
 - ; - ; - ; - ; - ; - ;
ML4, 4, 16;  - ; - ; - ; - ; - ;
 - ; - ; - ; - ; - ; - ;
